mcsADDN:bdoHROUMapping
OU=00130,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 6-Southern Luzon; Laguna Area; Biñan Branch
OU=00131,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; Pampanga-Zambales Area; SM City Clark A Branch
OU=00132,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Commonwealth Area; Congressional Avenue Branch
OU=00133,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; Pampanga-Bataan Area; SM City Pampanga A Branch
OU=00134,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Ortigas Area; Emerald Avenue Branch
OU=00136,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Del Monte Area; Del Monte Avenue Branch
OU=00137,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Banawe Area; Banawe-Kitanlad Branch
OU=00138,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati Central Area; Valero-Salcedo Village Branch
OU=00139,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Manila 2 Area; Pedro Gil-Adriatico Branch
OU=00140,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Tondo Area; Tutuban Branch
OU=00141,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 3-Metro Manila West; Binondo Area; Elcano Branch
OU=00142,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Ortigas Area; Rockwell-Ortigas Branch
OU=00143,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Ortigas Area; SM Center Pasig Branch
OU=00144,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati Central Area; Rada-Legaspi Village Branch
OU=00145,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 4-Metro Manila East; Makati 2 Area; Pasong Tamo Ext. Branch
OU=00146,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; Pampanga-Zambales Area; Angeles-MacArthur Highway Branch
OU=00147,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Alabang Area; BF Homes-Puregold Southpark Branch
OU=00148,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Bicutan/Sucat Area; SM City Sucat A Branch
